Short Name,GICS Sector,GICS Subindustry,Country,"USD Total Revenue, 2018",Clean Revenue Estimate,"Clean Revenue, USD, 2018",Product Examples,"USD Market Cap, 
Wartsila Oyj Abp,Industrials,Industrial Machinery,Finland,7307909604.519774,0.36,2630847457.6271186,Equipment for renewable energy production,6615639427.5959
Koninklijke Philips NV,Health Care,Health Care Equipment,Netherlands,25594632768.361584,0.1,2559463276.8361583,Energy efficient lighting,43559954635.8428
MLS Co Ltd,Information Technology,Semiconductors,China,5057042855.352954,0.5,2528521427.676477,LEDs,2543387148.28886
Capitaland Ltd,Real Estate,Diversified Real Estate Activities,Singapore,6518565279.166546,0.3847263942761909,2507864115.707717,Energy-efficient buildings,14462999516.8939
Melrose Industries PLC,Industrials,Heavy Electrical Equipment,United Kingdom,12492414542.012548,0.2,2498482908.4025097,"HVAC, air quality and SMART technology solutions",15250213743.5211
Rexel SA,Industrials,Trading Companies & Distributors,France,18878107344.63277,0.12992959590593833,2452824858.7570624,Home and industrial energy efficiency equipment,4057325776.18589
Sino-American Silicon Products Inc,Information Technology,Semiconductor Equipment,Taiwan,4874265751.495952,0.5,2437132875.747976,Solar energy equipment,1892722511.88257
Tianneng Power International Ltd,Consumer Discretionary,Auto Parts & Equipment,China,9733333567.14457,0.25,2433333391.7861423,Lead-acid batteries and battery-related accessories,877720406.982723
Air Products and Chemicals Inc,Materials,Industrial Gases,United States,8930200000.0,0.26987077557053596,2410000000.0,Gases for medical and environmental uses,49851269083.8
H & M Hennes & Mauritz AB,Consumer Discretionary,Apparel Retail,Sweden,23760874355.003498,0.1,2376087435.50035,Clothing and apparel from sustainable raw materials,29564457696.2782
Autodesk Inc,Information Technology,Application Software,United States,2569800000.0,0.92,2364216000.0,Architectural and design software for clean energy infrastructure,41172575334.24
Spie SA,Industrials,Diversified Support Services,France,9454368644.067797,0.25,2363592161.016949,"Energy efficiency, sustainable buildings, low carbon energies ",3137351934.70353
China Everbright International Ltd,Industrials,Environmental & Facilities Services,Hong Kong,4598072371.769356,0.5,2299036185.884678,Waste-to-energy projects,4809070280.78466
China Railway Signal & Communication Corp Ltd,Information Technology,Electronic Equipment & Instruments,China,11224067807.455631,0.2,2244813561.4911265,railway signal and communication technology,9813408974.60615
Kao Corp,Consumer Staples,Personal Products,Japan,15068829105.552132,0.14519826499479116,2187967841.6291804,Organic cosmetics,39873815692.0799
Eaton Corporation PLC,Industrials,Electrical Components & Equipment,United States,21609000000.0,0.1,2160900000.0,Energy management and superchargers,39413556000.0
Atlas Copco AB,Industrials,Industrial Machinery,Sweden,10769525955.87547,0.2,2153905191.175094,Energy efficient manufacturing and mining equipment,47310160223.7524
Doosan Co Ltd,Industrials,Industrial Conglomerates,South Korea,21311465182.030018,0.1,2131146518.203002,Energy efficient and electric manufacturing equipment,1194646013.40917
Andritz AG,Industrials,Industrial Machinery,Austria,8519004237.2881365,0.25,2129751059.3220341,Hydropower plants ,4474615607.77488
Workday Inc,Information Technology,Application Software,United States,2822180000.0,0.75,2116635000.0,Online collaboration software,38982700000.0
Norsk Hydro ASA,Materials,Aluminum,Norway,15273319754.66397,0.1366,2086335478.4870985,Mining operations powered with renewable energy,7561169930.62093
FirstGroup PLC,Industrials,Trucking,United Kingdom,10346564694.883118,0.2,2069312938.9766235,Passenger bus and rail transportation,1968367597.46929
Analog Devices Inc,Information Technology,Semiconductors,United States,6200942000.0,0.33,2046310860.0,Renewable energy management technology,43138148915.68
United Natural Foods Inc,Consumer Staples,Food Distributors,United States,10226683000.0,0.2,2045336600.0,Organic and sustainably harvested products,502441500.33
NARI Technology Co Ltd,Industrials,Heavy Electrical Equipment,China,8039830560.941255,0.25,2009957640.2353137,Renewable energy & power electronics,14545789472.7881
NSK Ltd,Industrials,Industrial Machinery,Japan,9906260227.058422,0.2,1981252045.4116845,Electric vehicles components,5163687020.67183
Aalberts NV,Industrials,Industrial Machinery,Netherlands,3896751412.4293785,0.5,1948375706.2146893,Electric vehicles components,4887279730.66881
Tianjin Zhonghuan Semiconductor Co Ltd,Information Technology,Semiconductors,China,3874989228.3093266,0.5,1937494614.1546633,New energy products and semiconductors,4971425839.63211
AB SKF,Industrials,Industrial Machinery,Sweden,9679733001.855583,0.2,1935946600.3711166,Electric vehicles components,9183603604.85683
Zhejiang Chint Electrics Co Ltd,Industrials,Electrical Components & Equipment,China,7724456371.446671,0.25,1931114092.8616676, Solar energy products,8527976555.56352
Samsung Electro-Mechanics Co Ltd,Information Technology,Electronic Components,South Korea,9608393578.186867,0.2,1921678715.6373734,Energy efficient hardware,8286095974.77162
Green Plains Inc,Energy,Oil & Gas Refining & Marketing,United States,3843353000.0,0.5,1921676500.0,Biofuels,531957672.235
LG Innotek Co Ltd,Information Technology,Electronic Components,South Korea,9361036947.217613,0.2,1872207389.4435227,Energy efficient hardware,2879950292.21725
Brookfield Renewable Partners LP,Utilities,Renewable Electricity,Canada,2982000000.0,0.62686,1869296520.0,Hydropower plants ,8371161438.33372
Acuity Brands Inc,Industrials,Electrical Components & Equipment,United States,3680100000.0,0.5,1840050000.0,LED lights,5514666878.14
China Agri-Industries Holdings Ltd,Consumer Staples,Agricultural Products,Hong Kong,18376950588.066185,0.1,1837695058.8066187,Biofuels,2799683189.3151
Nexans SA,Industrials,Electrical Components & Equipment,France,9166666666.666668,0.2,1833333333.3333337,Energy efficient fibreoptic and cables,2104364263.23894
MTR Corp Ltd,Industrials,Railroads,Hong Kong,9107318246.810556,0.2,1821463649.3621113,Passenger rail transportation,36063310137.3998
Sandvik AB,Industrials,Industrial Machinery,Sweden,11301322331.054705,0.16,1808211572.9687529,Energy-efficient manufacturing and mining equipment,24357202632.0867
eBay Inc,Consumer Discretionary,Internet & Direct Marketing Retail,United States,10746000000.0,0.1677,1802104199.9999998,Pre-owned marketplace,29107926432.12
Applied Materials Inc,Information Technology,Semiconductor Equipment,United States,17253000000.0,0.1038,1790861400.0,Energy efficient hardware,54817562429.22
THK Co Ltd,Industrials,Industrial Machinery,Japan,3532155118.246442,0.5,1766077559.123221,Electric vehicles components,3554490299.87047
Wacker Chemie AG,Materials,Specialty Chemicals,Germany,7032203389.830509,0.25,1758050847.4576273,Silicon for the production of solar cells,3795265193.81402
Nordex SE,Industrials,Heavy Electrical Equipment,Germany,3473338983.0508475,0.5,1736669491.5254238,Wind turbines,1385556273.28111
Doosan Heavy Industries & Construction Co Ltd,Industrials,Heavy Electrical Equipment,South Korea,17311084035.565685,0.1,1731108403.5565686,"Wind power, microgrid, heat exchangers",961416316.391588
Omron Corp,Information Technology,Electronic Components,Japan,8588413301.329607,0.2,1717682660.2659216,Automation and energy efficient solutions,11933881021.041
Xinte Energy Co Ltd,Industrials,Construction & Engineering,China,3395542545.134037,0.5,1697771272.5670185,Solar energy and wind power solutions,786713286.713287
Keikyu Corp,Industrials,Railroads,Japan,3390151049.021961,0.5,1695075524.5109806,Passenger rail transportation,5301909850.72169
Delta Electronics Inc,Information Technology,Electronic Components,Taiwan,16685519816.965857,0.1,1668551981.6965857,"Makes renewable energy plants, EV charger stations",12882237918.4197
Huaneng Renewables Corp Ltd,Utilities,Renewable Electricity,China,3281890283.838178,0.5,1640945141.919089,Wind power,4156415634.96503
Nitto Denko Corp,Materials,Specialty Chemicals,Japan,8058938273.815882,0.2,1611787654.7631764,Solar power materials,8878516737.54153
Guodian Technology & Environment Group Corp Ltd,Industrials,Heavy Electrical Equipment,China,3214701667.391728,0.5,1607350833.695864,Wind power equipment,202666109.625668
Essity AB (publ),Consumer Staples,Household Products,Sweden,13382431611.539518,0.12,1605891793.3847423,"Recycled, FSC and PEFC certified products",22815212075.0205
Air Water Inc,Materials,Industrial Gases,Japan,8008955559.421339,0.2,1601791111.8842678,Medical Diagnostic Equipment,3398329316.86047
Kansas City Southern,Industrials,Railroads,United States,2714000000.0,0.589,1598546000.0,Energy-efficient bulk transportation solutions,15352636083.12
Shin-Etsu Chemical Co Ltd,Materials,Specialty Chemicals,Japan,15928477833.390627,0.1,1592847783.3390627,Solar power materials,45565283287.6523
GCL System Integration Technology Co Ltd,Information Technology,Semiconductors,China,3152546339.2213554,0.5,1576273169.6106777,Solar energy products,4101718261.76719
ASML Holding NV,Information Technology,Semiconductor Equipment,Netherlands,15457627118.644068,0.1,1545762711.8644068,Energy-efficient hardware,125350975042.421
CIMIC Group Ltd,Industrials,Construction & Engineering,Australia,10264830478.93153,0.14849935579636958,1524320713.480272,Energy efficient construction,7446003417.14397
Nidec Corp,Industrials,Electrical Components & Equipment,Japan,15171882231.012133,0.1,1517188223.1012135,"Motors and inverters for solar, wind and hydro power plants",41023446926.3566
Amcor PLC,Materials,Paper Packaging,Australia,9458200000.0,0.16,1513312000.0,Bioplastics and bio-packaging,16881877837.34
Weyerhaeuser Co,Real Estate,Specialized REITs,United States,7476000000.0,0.2,1495200000.0,FSC and PEFC certified products,21892283770.76
NTN Corp,Industrials,Industrial Machinery,Japan,7330221874.388363,0.2,1466044374.8776727,Electric vehicles components,1655963534.50535
Sungrow Power Supply Co Ltd,Industrials,Electrical Components & Equipment,China,2920931089.58212,0.5,1460465544.79106,"Solar (PV) inverters, wind power converters",2437229795.47445
Shunfeng International Clean Energy Ltd,Information Technology,Semiconductors,China,2898874802.4427104,0.5,1449437401.2213552,Photovoltaic service provider,74294986.2248046
Metso Oyj,Industrials,Industrial Machinery,Finland,4481638418.079096,0.32,1434124293.7853107,Equipment for materials recycling,5972191999.28589
NCC Ltd,Industrials,Construction & Engineering,India,7105316678.206655,0.2,1421063335.641331,Energy efficient buildings,459695568.573973
DSV A/S,Industrials,Air Freight & Logistics,Denmark,11594417584.126003,0.12164000000000001,1410344954.933087,Energy-efficient bulk transportation solutions,26402759526.9382
Siemens Ltd,Industrials,Industrial Conglomerates,India,7050030746.256689,0.2,1410006149.251338,Renewable electricity production and distribution,7306847879.29283
TE Connectivity Ltd,Information Technology,Electronic Manufacturing Services,Switzerland,13988000000.0,0.1,1398800000.0,Electric vehicles components,31678092396.72
Dover Corp,Industrials,Industrial Machinery,United States,6992118000.0,0.2,1398423600.0,Recycling solutions,16820394834.94
Suzhou Dongshan Precision Manufacturing Co Ltd,Information Technology,Electronic Components,China,5584826456.462479,0.25,1396206614.1156197,Components for solar modules,6223395228.85612
Suzlon Energy Ltd,Industrials,Heavy Electrical Equipment,India,2768533679.586139,0.5,1384266839.7930696,Equipment for wind turbines,237225155.897436
Risen Energy Co Ltd,Information Technology,Semiconductors,China,2747189380.13592,0.5,1373594690.06796,Photovoltaic applications,1823452105.36978
GEA Group AG,Industrials,Industrial Machinery,Germany,6819505649.717514,0.2,1363901129.943503,Water and wastewater treatment,5945112715.00301
Evoqua Water Technologies Corp,Industrials,Industrial Machinery,United States,1339541000.0,1.0,1339541000.0,Water purification solutions,2134577900.0
China Lesso Group Holdings Ltd,Industrials,Building Products,China,6685738480.146824,0.2,1337147696.0293648,Water purification solutions,4059880104.8951
Jindal SAW Ltd,Materials,Steel,India,6676297846.274921,0.2,1335259569.2549844,Water and wastewater distribution pipes,367164705.139353
Clariant AG,Materials,Specialty Chemicals,Switzerland,5636710877.498775,0.23007201389098597,1296849423.3073697,Biobased chemicals,7232690618.82776
Pearson PLC,Communication Services,Publishing,United Kingdom,5994326512.954075,0.21545999999999998,1291537590.4810848,FSC and PEFC certified paper products,6537143009.32492
Fortive Corp,Industrials,Industrial Machinery,United States,6452700000.0,0.2,1290540000.0,Renewable energy management technology,25799835379.89
Ebara Corp,Industrials,Industrial Machinery,Japan,5087954538.5528755,0.25,1271988634.6382189,Wind power and hydropower machinery,2897088546.51163
Nibe Industrier AB,Industrials,Building Products,Sweden,2542774938.104842,0.5,1271387469.052421,Ground-source/geothermal heat pumps and efficient wood stoves,7878166653.94764
Chr Hansen Holding A/S,Materials,Specialty Chemicals,Denmark,1550000000.0,0.82,1271000000.0,Enzymes and other additives that increases food shelf life,10264830307.5379
STMicroelectronics NV,Information Technology,Semiconductors,Switzerland,9664000000.0,0.13,1256320000.0,Energy-efficient microchips,24507736045.309
COFCO Biochemical Anhui Co Ltd,Materials,Specialty Chemicals,China,4987202123.693369,0.25,1246800530.9233422,Ethanol production,1814558485.77757
Shenzhen Desay Battery Technology Co Ltd,Industrials,Electrical Components & Equipment,China,4859114046.831841,0.25,1214778511.7079604,Heavy-duty batteries,1284257684.88564
Sika AG,Materials,Specialty Chemicals,Switzerland,6030250830.655264,0.2,1206050166.1310527,Electric vehicles structural adhesive,26591290907.0248
Graphic Packaging Holding Co,Materials,Paper Packaging,United States,6023000000.0,0.2,1204600000.0,FSC and PEFC certified products,4670072733.63
SNC-Lavalin Group Inc,Industrials,Construction & Engineering,Canada,8076696533.766482,0.1491,1204235453.1845827,Energy efficient construction,3917862028.0
EDP Renovaveis SA,Utilities,Renewable Electricity,Spain,2396460451.9774013,0.5,1198230225.9887006,Wind power,10017552486.0
Tofas Turk Otomobil Fabrikasi AS,Consumer Discretionary,Automobile Manufacturers,Turkey,11923492444.99992,0.1,1192349244.4999921,Electric vehicles components,2202200525.84864
Renewable Energy Group Inc,Energy,Oil & Gas Refining & Marketing,United States,2382987000.0,0.5,1191493500.0,Biofuels,1106195795.64
Transcontinental Inc,Industrials,Commercial Printing,Canada,2101269411.8127623,0.566,1189318487.0860233,FSC and PEFC certified paper products,1074175028.9902
Itron Inc,Information Technology,Electronic Equipment & Instruments,United States,2376117000.0,0.5,1188058500.0,Energy and water management product and services,3324534951.52
LS Corp,Industrials,Electrical Components & Equipment,South Korea,11856720506.0228,0.1,1185672050.6022801,"Parts for electric vehicles, solar plants, wind turbines, green building materials",1247227792.34579
Stantec,Industrials,Research & Consulting Services,Canada,3431072196.0447917,0.3441,1180631942.6590128,Architectural solutions for clean power infrastructure,3172632085.51261
Peab AB,Industrials,Construction & Engineering,Sweden,5898772576.924418,0.2,1179754515.3848836,Energy efficient buildings,2630918898.25034
Sanan Optoelectronics Co Ltd,Information Technology,Semiconductors,China,2356246596.400334,0.5,1178123298.200167,"LED products, solar cells",11332044202.0158
Jiangsu Zhongli Group Co Ltd,Industrials,Electrical Components & Equipment,CHINA,4711802511.593252,0.25,1177950627.898313,Photovoltaic modules and solar cells,787310752.160117
ON Semiconductor Corp,Information Technology,Semiconductors,United States,5878300000.0,0.2,1175660000.0,"Autonomous driving, electric vehicles, and LED lighting",9886081789.45
China Datang Corp Renewable Power Co Ltd,Utilities,Renewable Electricity,China,2343579033.236598,0.5,1171789516.618299,Renewable energy,729314939.839572
Xuji Electric Co Ltd,Industrials,Heavy Electrical Equipment,China,2314606928.064952,0.5,1157303464.032476,Intelligent renewable power distribution,1627803337.58764
