,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ_North
4, 58.com Inc ,6,0.0,0.0,na,na,WUBA,na
8, AAK AB ,18,0.0,0.0,na,na,na,AAK
12, ABB Ltd ,44,1.0,1.0,Switzerland,na,ABB,ABB
13, Abbott Laboratories ,85,0.0,0.0,na,na,DLB,na
14, AbbVie Inc ,76,0.0,0.0,na,na,ABBV,na
21, Accenture PLC ,54,1.0,1.0,Ireland,na,ACN,na
40, Adobe Inc ,67,0.0,0.0,na,ADBE,na,na
41, Adtalem Global Education Inc ,15,0.0,0.0,na,na,ATGE,na
42, Advance Auto Parts Inc ,12,0.0,0.0,na,na,AAP,na
45, Advanced Micro Devices Inc ,32,0.0,1.0,United States of America (USA),AMD,na,na
49, AECOM ,18,0.0,1.0,United States of America (USA),na,ACM,na
50, Aegon NV ,45,0.0,0.0,na,na,AEG,na
57, Affiliated Managers Group Inc ,34,0.0,0.0,na,na,MGR,na
58, Aflac Inc ,42,0.0,0.0,na,na,AFL,na
61, AGCO Corp ,12,0.0,0.0,na,na,AGCO,na
68, Agnico Eagle Mines Ltd ,38,0.0,0.0,na,na,AEM,na
78, Air Lease Corp ,9,0.0,0.0,na,na,AL^A,na
92, Alaska Air Group Inc ,56,0.0,0.0,na,na,ALK,na
93, Albemarle Corp ,22,0.0,0.0,na,na,ALB,na
94, Alcoa Corp ,67,0.0,0.0,na,na,AA,na
98, Alfa Laval AB ,28,0.0,0.0,na,na,na,ALFA
101, Algonquin Power & Utilities Corp ,40,0.0,0.0,na,na,AQNB,na
109, Alkermes PLC ,14,0.0,0.0,na,ALKS,na,na
110, Alleghany Corp ,9,0.0,0.0,na,na,Y,na
111, Allegion PLC ,14,0.0,0.0,na,na,ALLE,na
112, Allergan PLC ,56,0.0,0.0,na,na,AGN,na
113, Alliance Data Systems Corp ,30,0.0,0.0,na,na,ADS,na
116, Allison Transmission Holdings Inc ,10,0.0,0.0,na,na,ALSN,na
118, Ally Financial Inc ,19,0.0,0.0,na,na,ALLY^A,na
124, Alphabet Inc ,38,1.0,0.0,na,GOOGL,na,na
138, Ambev SA ,31,0.0,1.0,Brazil,na,ABEV,na
139, Ambu A/S ,14,0.0,0.0,na,na,na,AMBU B
141, Amcor PLC ,64,1.0,0.0,na,na,AMCR,na
142, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX,na,na
143, Amedisys Inc ,10,0.0,0.0,na,AMED,na,na
145, Ameren Corp ,28,0.0,0.0,na,na,AEE,na
147, American Airlines Group Inc ,30,0.0,0.0,na,AAL,na,na
148, American Campus Communities Inc ,10,0.0,0.0,na,na,ACC,na
149, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na,AEO,na
150, American Electric Power Co Inc ,33,0.0,0.0,na,na,AEP^B,na
151, American Express Co ,36,0.0,0.0,na,na,AXP,na
152, American Homes 4 Rent ,5,0.0,0.0,na,na,AMH^H,na
154, American Tower Corp ,18,0.0,0.0,na,na,AMT,na
155, American Water Works Co Inc ,45,0.0,0.0,na,na,AWK,na
156, Ameriprise Financial Inc ,25,0.0,0.0,na,na,AMP,na
159, Amgen Inc ,57,0.0,0.0,na,AMGN,na,na
164, Amphenol Corp ,13,0.0,0.0,na,na,APH,na
173, AngloGold Ashanti Ltd ,69,0.0,0.0,na,na,AU,na
174, Anheuser-Busch InBev SA/NV ,31,0.0,0.0,na,na,BUD,na
176, Annaly Capital Management Inc ,13,0.0,0.0,na,na,NLY^I,na
184, Aon PLC ,20,0.0,0.0,na,na,AON,na
188, Apache Corp ,33,0.0,0.0,na,na,APA,na
192, Apple Hospitality REIT Inc ,7,0.0,0.0,na,na,APLE,na
193, Apple Inc ,29,0.0,0.0,na,AAPL,na,na
195, Aptiv PLC ,49,1.0,0.0,na,na,APTV,na
196, Aramark ,13,0.0,0.0,na,na,ARMK,na
201, ArcelorMittal SA ,52,0.0,0.0,na,na,MT,na
202, Arch Capital Group Ltd ,28,0.0,0.0,na,ACGLP,na,na
203, Archer-Daniels-Midland Co ,66,0.0,0.0,na,na,ADM,na
204, Arconic Inc ,23,0.0,0.0,na,na,ARNC,na
209, Armstrong World Industries Inc ,10,0.0,0.0,na,na,AWI,na
212, Arthur J Gallagher & Co ,24,0.0,0.0,na,na,AJG,na
221, ASGN Inc ,7,0.0,0.0,na,na,ASGN,na
232, Assa Abloy AB ,34,0.0,0.0,na,na,na,ASSA B
236, Assured Guaranty Ltd ,14,0.0,0.0,na,na,AGO^F,na
239, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na,AZN,AZN
242, AT&T Inc ,72,0.0,1.0,United States of America (USA),na,TBC,na
246, Atlas Copco AB ,36,1.0,0.0,na,na,na,ATCO B
254, Aurora Cannabis Inc ,6,0.0,0.0,na,na,ACB,na
262, Autohome Inc ,6,0.0,0.0,na,na,ATHM,na
263, Autoliv Inc ,23,0.0,0.0,na,na,na,ALIV SDB
264, Automatic Data Processing Inc ,26,0.0,0.0,na,ADP,na,na
271, Avery Dennison Corp ,18,0.0,0.0,na,na,AVY,na
279, Axalta Coating Systems Ltd ,41,0.0,0.0,na,na,AXTA,na
282, Axis Capital Holdings Ltd ,10,0.0,0.0,na,na,AXS^E,na
287, Azul SA ,9,0.0,0.0,na,na,AZUL,na
299, Baker Hughes Co ,34,0.0,0.0,na,na,BKR,na
301, Ball Corp ,74,1.0,1.0,United States of America (USA),na,BLL,na
317, Banco Santander Brasil SA ,29,0.0,0.0,na,na,BSBR,na
318, Banco Santander Chile ,67,0.0,0.0,na,na,BSAC,na
321, Bancolombia SA ,85,0.0,1.0,Colombia,na,CIB,na
333, Bank of America Corp ,78,0.0,0.0,na,TANNZ,PKG,na
339, Bank of Montreal ,71,0.0,0.0,na,BMLP,BMO,na
340, Bank of New York Mellon Corp ,63,0.0,0.0,na,na,BK^C,na
341, Bank of Nova Scotia ,74,0.0,0.0,na,na,BNS,na
344, Bank OZK ,12,0.0,0.0,na,OZK,na,na
354, Barclays PLC ,70,0.0,0.0,na,TAPR,BCS,na
358, Barrick Gold Corp ,79,0.0,0.0,na,GOLD,GOLD,na
362, Bausch Health Cos Inc ,10,0.0,0.0,na,na,BHC,na
372, Becton Dickinson and Co ,54,0.0,0.0,na,na,BDXA,na
383, Berkshire Hathaway Inc ,9,0.0,0.0,na,na,BRK.B,na
386, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na,BBY,na
400, Bio-Techne Corp ,17,0.0,0.0,na,TECH,na,na
402, Biogen Inc ,83,0.0,1.0,United States of America (USA),BIIB,na,na
407, BlackBerry Ltd ,21,0.0,0.0,na,na,BB,na
409, BlackRock Inc ,48,0.0,0.0,na,na,BCX,na
417, Boliden AB ,54,0.0,0.0,na,na,na,BOL
423, Booz Allen Hamilton Holding Corp ,27,0.0,0.0,na,na,BAH,na
425, BorgWarner Inc ,33,0.0,0.0,na,na,BWA,na
428, Boston Scientific Corp ,44,0.0,0.0,na,na,BSX,na
430, BP PLC ,49,0.0,0.0,na,na,BP,na
433, Braskem SA ,70,0.0,0.0,na,na,BAK,na
439, Bright Horizons Family Solutions Inc ,15,0.0,0.0,na,na,BFAM,na
443, Bristol-Myers Squibb Co ,54,0.0,0.0,na,na,BMY~,na
445, British American Tobacco Malaysia Bhd ,35,0.0,1.0,United Kingdom (UK),na,BTI,na
446, British American Tobacco PLC ,83,0.0,1.0,United Kingdom (UK),na,BTI,na
450, Broadcom Inc ,12,0.0,0.0,na,AVGOP,na,na
451, Broadridge Financial Solutions Inc ,19,0.0,0.0,na,na,BR,na
452, Brookfield Asset Management Inc ,16,0.0,0.0,na,na,BAM,na
455, Bruker Corp ,12,0.0,0.0,na,BRKR,na,na
456, Brunswick Corp/DE ,13,0.0,0.0,na,na,BC^C,na
460, Bunge Ltd ,39,0.0,0.0,na,na,BG,na
468, Cabot Corp ,55,0.0,0.0,na,na,CBT,na
469, Cabot Oil & Gas Corp ,19,0.0,0.0,na,na,MGY,na
471, Cadence Design Systems Inc ,14,0.0,0.0,na,CDNS,na,na
473, CAE Inc ,25,0.0,0.0,na,na,CAE,na
474, Caesars Entertainment Corp ,53,0.0,1.0,United States of America (USA),CZR,na,na
479, Cameco Corp ,27,0.0,0.0,na,na,CCJ,na
480, Campbell Soup Co ,64,0.0,0.0,na,na,CPB,na
481, Canadian Imperial Bank of Commerce ,66,0.0,0.0,na,na,CM,na
482, Canadian National Railway Co ,74,1.0,1.0,Canada,na,CP,na
483, Canadian Natural Resources Ltd ,29,0.0,0.0,na,na,PXD,na
484, Canadian Pacific Railway Ltd ,36,1.0,1.0,Canada,na,CP,na
489, Canopy Growth Corp ,1,0.0,0.0,na,na,CGC,na
490, Cantel Medical Corp ,10,0.0,0.0,na,na,CMD,na
495, Capital One Financial Corp ,34,0.0,0.0,na,na,COF^J,na
502, Carlsberg A/S ,27,0.0,1.0,Denmark,na,na,CARL B
503, CarMax Inc ,18,0.0,0.0,na,na,KMX,na
504, Carnival Corp ,54,0.0,0.0,na,na,CUK,na
511, Castellum AB ,79,0.0,1.0,Sweden,na,na,CAST
524, CDW Corp/DE ,11,0.0,0.0,na,CDW,na,na
525, Celanese Corp ,19,0.0,0.0,na,na,CE,na
526, Celgene Corp ,30,0.0,0.0,na,na,CELG~,na
535, Cementos Pacasmayo SAA ,55,0.0,0.0,na,na,CPAC,na
540, Centene Corp ,12,0.0,0.0,na,na,CNC,na
547, Cerner Corp ,17,0.0,0.0,na,CERN,na,na
549, CF Industries Holdings Inc ,26,0.0,0.0,na,na,CF,na
550, CGI Inc ,46,0.0,0.0,na,na,GIB,na
556, Charles River Laboratories International Inc ,14,0.0,0.0,na,na,CRL,na
557, Charles Schwab Corp ,20,0.0,0.0,na,na,SCHW^D,na
564, Check Point Software Technologies Ltd ,9,0.0,0.0,na,CHKP,na,na
567, Chemed Corp ,8,0.0,0.0,na,na,CHE,na
570, Chevron Corp ,40,0.0,0.0,na,na,CVX,na
593, China Life Insurance Co Ltd ,19,0.0,0.0,na,na,LFC,na
594, China Life Insurance Co Ltd/29 ,28,0.0,0.0,na,na,LFC,na
606, China Oilfield Services Ltd ,21,0.0,0.0,na,na,LBRT,na
610, China Petroleum & Chemical Corp ,29,0.0,0.0,na,na,SNP,na
621, China Southern Airlines Co Ltd ,14,0.0,0.0,na,na,ZNH,na
625, China Telecom Corp Ltd ,21,0.0,0.0,na,na,CHA,na
630, Chipotle Mexican Grill Inc ,15,0.0,0.0,na,na,CMG,na
636, Chubb Ltd ,46,0.0,0.0,na,na,CB,na
640, Chunghwa Telecom Co Ltd ,75,0.0,0.0,na,na,CHT,na
641, Church & Dwight Co Inc ,24,0.0,0.0,na,na,CHD,na
644, Cia Brasileira de Distribuicao ,19,0.0,0.0,na,na,CBD,na
647, Cia de Saneamento Basico do Estado de Sao Paulo ,15,0.0,0.0,na,na,SBS,na
659, Cigna Corp ,78,0.0,0.0,na,na,CI,na
663, Cimpress NV ,7,0.0,0.0,na,CMPR,na,na
664, Cincinnati Financial Corp ,18,0.0,0.0,na,CINF,na,na
668, Cintas Corp ,12,0.0,0.0,na,CTAS,na,na
673, Citigroup Inc ,71,0.0,0.0,na,na,C^S,na
674, Citizens Financial Group Inc ,26,0.0,0.0,na,na,CFG^E,na
693, CNH Industrial NV ,88,0.0,1.0,United Kingdom (UK),na,CNHI,na
694, CNOOC Ltd ,28,0.0,0.0,na,na,CEO,na
702, Coca-Cola European Partners PLC ,89,0.0,1.0,United Kingdom (UK),na,CCEP,na
707, Cognex Corp ,8,0.0,0.0,na,CGNX,na,na
708, Cognizant Technology Solutions Corp ,30,0.0,0.0,na,CTSH,na,na
711, Colgate-Palmolive Co ,82,0.0,0.0,na,na,CL,na
714, Coloplast A/S ,58,0.0,0.0,na,na,na,COLO B
717, Comcast Corp ,48,0.0,0.0,na,CMCSA,CCZ,na
718, Comerica Inc ,37,0.0,0.0,na,na,CMA,na
731, Concho Resources Inc ,17,0.0,0.0,na,na,CXO,na
733, ConocoPhillips ,67,0.0,0.0,na,na,COP,na
734, Consolidated Edison Inc ,18,0.0,0.0,na,na,ED,na
736, Constellation Brands Inc ,16,0.0,0.0,na,na,STZ.B,na
748, Corning Inc ,13,0.0,1.0,United States of America (USA),na,GLW,na
753, Cosan SA ,25,0.0,0.0,na,na,CZZ,na
758, Costco Wholesale Corp ,18,0.0,0.0,na,COST,na,na
759, Coty Inc ,12,0.0,0.0,na,na,COTY,na
762, Coupa Software Inc ,9,0.0,0.0,na,COUP,na,na
763, Cousins Properties Inc ,11,0.0,0.0,na,na,CUZ,na
768, Crane Co ,11,0.0,0.0,na,na,CR,na
769, Credicorp Ltd ,45,0.0,0.0,na,na,BAP,na
772, Credit Suisse Group AG ,68,0.0,0.0,na,ZIV,CS,na
775, CRH PLC ,80,0.0,1.0,Ireland,na,CRH,na
780, Crown Castle International Corp ,7,0.0,0.0,na,na,CCI^A,na
787, CSX Corp ,60,1.0,1.0,United States of America (USA),CSX,na,na
790, CubeSmart ,8,0.0,0.0,na,na,CUBE,na
792, Cummins Inc ,75,0.0,1.0,United States of America (USA),na,CMI,na
793, Curtiss-Wright Corp ,9,0.0,0.0,na,na,CW,na
795, CVS Health Corp ,72,0.0,1.0,United States of America (USA),na,CVS,na
797, CyberArk Software Ltd ,8,0.0,0.0,na,CYBR,na,na
799, Cypress Semiconductor Corp ,8,0.0,0.0,na,CY,na,na
800, CyrusOne Inc ,7,0.0,0.0,na,CONE,na,na
821, Danaher Corp ,19,1.0,0.0,na,na,DHR^A,na
828, DaVita Inc ,61,0.0,0.0,na,na,DVA,na
833, Deere & Co ,32,0.0,0.0,na,na,DE,na
835, Dell Technologies Inc ,32,0.0,1.0,United States of America (USA),na,DELL,na
836, Delta Air Lines Inc ,55,0.0,0.0,na,na,DAL,na
839, Demant A/S ,19,0.0,0.0,na,na,na,DEMANT
842, DENTSPLY SIRONA Inc ,21,0.0,0.0,na,XRAY,na,na
854, Diageo PLC ,86,0.0,1.0,United Kingdom (UK),na,DEO,na
863, Discover Financial Services ,30,0.0,0.0,na,PFIS,IFS,na
866, DISH Network Corp ,9,0.0,0.0,na,DISH,na,na
872, Dollar General Corp ,16,0.0,0.0,na,na,DG,na
887, Dover Corp ,19,1.0,0.0,na,na,DOV,na
888, Dow Inc ,76,0.0,0.0,na,na,DOW,na
894, DSV PANALPINA A/S ,29,0.0,1.0,Denmark,na,na,DSV
901, DXC Technology Co ,48,0.0,0.0,na,na,DXC,na
902, E*TRADE Financial Corp ,17,0.0,0.0,na,ETFC,na,na
906, Eagle Materials Inc ,8,0.0,0.0,na,na,EXP,na
908, East West Bancorp Inc ,12,0.0,0.0,na,EWBC,na,na
910, Eastman Chemical Co ,31,0.0,0.0,na,na,EMN,na
914, eBay Inc ,63,1.0,0.0,na,EBAYL,na,na
918, Ecolab Inc ,71,1.0,1.0,United States of America (USA),na,ECL,na
919, Ecopetrol SA ,29,0.0,0.0,na,na,EC,na
921, Edelweiss Financial Services Ltd ,15,0.0,0.0,na,PFIS,IFS,na
923, Edison International ,21,0.0,0.0,na,na,EIX,na
926, Edwards Lifesciences Corp ,74,0.0,0.0,na,na,EW,na
936, Electrolux AB ,67,1.0,1.0,Sweden,na,na,ELUX B
937, Electronic Arts Inc ,14,0.0,0.0,na,EA,na,na
938, Elekta AB ,15,0.0,0.0,na,na,na,EKTA B
939, Eli Lilly & Co ,30,0.0,0.0,na,na,LLY,na
941, Elisa OYJ ,37,0.0,1.0,Finland,na,na,ELISA
943, Embotelladora Andina SA ,75,0.0,0.0,na,na,AKO.B,na
944, Embraer SA ,63,0.0,0.0,na,na,ERJ,na
948, Emerson Electric Co ,25,1.0,0.0,na,na,EMR,na
966, Enbridge Inc ,42,0.0,0.0,na,na,ENBA,na
968, Encompass Health Corp ,12,0.0,0.0,na,na,EHC,na
970, Enel Americas SA ,81,0.0,0.0,na,na,ENIA,na
971, Enel Chile SA ,84,0.0,0.0,na,na,ENIC,na
973, Enel Generacion Chile SA ,27,0.0,0.0,na,na,ENIC,na
978, EnerSys ,10,0.0,0.0,na,na,ENS,na
983, Eni SpA ,44,0.0,0.0,na,na,E,na
987, Entergy Corp ,75,0.0,0.0,na,na,ETR,na
991, Epiroc AB ,33,0.0,0.0,na,na,na,EPI B
992, EPR Properties ,6,0.0,1.0,South Africa,na,EPR^G,na
993, EQT Corp ,27,0.0,0.0,na,na,EQT,EQT
997, Equinor ASA ,47,0.0,0.0,na,na,EQNR,na
998, Equitrans Midstream Corp ,7,0.0,0.0,na,na,ETRN,na
999, Equity LifeStyle Properties Inc ,8,0.0,0.0,na,na,ELS,na
1000, Equity Residential ,27,0.0,0.0,na,na,EQR,na
1005, Essity AB ,80,0.0,1.0,Sweden,na,na,ESSITY B
1016, Everest Re Group Ltd ,14,0.0,0.0,na,na,RE,na
1019, Eversource Energy ,30,0.0,0.0,na,na,ES,na
1024, Exact Sciences Corp ,8,0.0,0.0,na,EXAS,na,na
1025, Exelon Corp ,78,0.0,0.0,na,EXC,na,na
1030, Extra Space Storage Inc ,7,0.0,0.0,na,na,EXR,na
1032, Exxon Mobil Corp ,37,0.0,0.0,na,na,XOM,na
1035, Fabege AB ,27,0.0,1.0,Sweden,na,na,FABG
1044, Fastenal Co ,14,0.0,0.0,na,FAST,na,na
1048, FedEx Corp ,34,0.0,0.0,na,na,FDX,na
1051, Ferrari NV ,54,0.0,0.0,na,na,RACE,na
1059, Fidelity National Financial Inc ,14,0.0,0.0,na,SNFCA,FNF,na
1060, Fidelity National Information Services Inc ,15,0.0,0.0,na,na,FIS,na
1061, Fifth Third Bancorp ,30,0.0,0.0,na,FITBP,na,na
1068, First Citizens BancShares Inc/NC ,10,0.0,0.0,na,FCNCP,na,na
1069, First Financial Bankshares Inc ,11,0.0,0.0,na,FFNW,FCF,na
1073, First Republic Bank/CA ,23,0.0,0.0,na,FRBK,FRC^J,na
1076, FirstEnergy Corp ,33,0.0,0.0,na,na,FE,na
1084, Flex Ltd ,58,0.0,0.0,na,FLEX,na,na
1088, Flowserve Corp ,23,0.0,0.0,na,na,FLS,na
1090, Fluor Corp ,42,0.0,0.0,na,na,FLR,na
1092, FMC Corp ,30,0.0,0.0,na,na,FMC,na
1094, Fomento Economico Mexicano SAB de CV ,58,0.0,0.0,na,na,FMX,na
1096, Ford Motor Co ,30,0.0,0.0,na,na,F^C,na
1105, Fortis Inc/Canada ,24,0.0,0.0,na,na,FTS,na
1106, Fortive Corp ,15,1.0,0.0,na,na,FTV^A,na
1108, Fortum OYJ ,38,0.0,0.0,na,na,na,FORTUM
1109, Fortune Brands Home & Security Inc ,19,0.0,0.0,na,na,FBHS,na
1114, Franco-Nevada Corp ,37,0.0,0.0,na,na,FNV,na
1127, Fulton Financial Corp ,13,0.0,0.0,na,FULT,na,na
1130, G4S PLC ,29,0.0,0.0,na,na,na,G4S
1137, Gaming and Leisure Properties Inc ,6,0.0,0.0,na,GLPI,na,na
1140, Garmin Ltd ,13,0.0,0.0,na,GRMN,na,na
1148, General Dynamics Corp ,19,0.0,0.0,na,na,GD,na
1149, General Electric Co ,29,0.0,0.0,na,na,POR,na
1151, General Motors Co ,76,0.0,0.0,na,na,GM,na
1152, Genmab A/S ,15,0.0,0.0,na,GMAB,na,GMAB
1155, Gentex Corp ,16,0.0,0.0,na,GNTX,na,na
1159, Genuine Parts Co ,15,0.0,0.0,na,na,GPC,na
1162, Gerdau SA ,10,0.0,0.0,na,na,GGB,na
1173, GlaxoSmithKline PLC ,90,0.0,1.0,United Kingdom (UK),na,GSK,na
1178, Globe Life Inc ,18,0.0,0.0,na,na,GL^C,na
1184, GN Store Nord A/S ,15,0.0,0.0,na,na,na,GN
1185, GoDaddy Inc ,10,0.0,0.0,na,na,GDDY,na
1187, Golar LNG Ltd ,8,0.0,0.0,na,GMLPP,na,na
1188, Gold Fields Ltd ,79,0.0,0.0,na,na,GFI,na
1190, Goldman Sachs Group Inc ,39,0.0,0.0,na,na,GSBD,na
1192, Goodyear Tire & Rubber Co ,39,0.0,0.0,na,GT,CTB,na
1194, Graco Inc ,11,0.0,0.0,na,na,GGG,na
1197, Grana y Montero SAA ,42,0.0,0.0,na,na,GRAM,na
1198, Grand Canyon Education Inc ,10,0.0,0.0,na,LOPE,na,na
1201, Graphic Packaging Holding Co ,20,1.0,0.0,na,na,GPK,na
1207, Green Dot Corp ,12,0.0,0.0,na,na,GDOT,na
1212, GrubHub Inc ,7,0.0,0.0,na,na,GRUB,na
1219, Grupo Aval Acciones y Valores SA ,7,0.0,0.0,na,na,AVAL,na
1251, GW Pharmaceuticals PLC ,12,0.0,0.0,na,GWPH,na,na
1256, Haemonetics Corp ,11,0.0,0.0,na,na,HAE,na
1261, Halliburton Co ,53,0.0,0.0,na,na,HAL,na
1268, Hancock Whitney Corp ,16,0.0,0.0,na,HWCPL,na,na
1269, Hanesbrands Inc ,23,0.0,0.0,na,na,HBI,na
1292, Hartford Financial Services Group Inc ,64,0.0,0.0,na,na,HIG^G,na
1305, Healthcare Services Group Inc ,8,0.0,0.0,na,HCSG,AMN,na
1308, HEICO Corp ,5,0.0,0.0,na,na,HEI.A,na
1313, Helmerich & Payne Inc ,14,0.0,0.0,na,na,HP,na
1318, Hennes & Mauritz AB ,69,0.0,1.0,Sweden,na,na,HM B
1325, Hess Corp ,67,0.0,0.0,na,na,HES,na
1326, Hewlett Packard Enterprise Co ,90,1.0,1.0,United States of America (USA),na,HPE,na
1327, Hexagon AB ,15,0.0,0.0,na,na,na,HEXA B
1328, Hexcel Corp ,18,0.0,0.0,na,na,HXL,na
1333, Hilton Worldwide Holdings Inc ,79,0.0,0.0,na,na,HLT,na
1351, HollyFrontier Corp ,22,0.0,0.0,na,na,HFC,na
1357, Honda Motor Co Ltd ,80,0.0,0.0,na,na,HMC,na
1365, Hormel Foods Corp ,34,0.0,0.0,na,na,HRL,na
1367, Host Hotels & Resorts Inc ,69,0.0,1.0,United States of America (USA),PLYA,PK,na
1375, HP Inc ,86,1.0,1.0,United States of America (USA),na,HPQ,na
1378, Huaneng Power International Inc ,10,0.0,0.0,na,na,HNP,na
1382, Hubbell Inc ,11,0.0,0.0,na,na,HUBB,na
1384, Hudson Pacific Properties Inc ,14,0.0,0.0,na,na,HPP,na
1389, Humana Inc ,62,0.0,0.0,na,na,HUM,na
1390, Huntington Bancshares Inc/OH ,34,0.0,0.0,na,HBANO,na,na
1391, Huntington Ingalls Industries Inc ,16,0.0,0.0,na,na,HII,na
1392, Huntsman Corp ,20,0.0,0.0,na,na,HUN,na
1394, Husqvarna AB ,28,0.0,1.0,Sweden,na,na,HUSQ B
1395, Hyatt Hotels Corp ,20,0.0,0.0,na,na,H,na
1416, IAC/InterActiveCorp ,6,0.0,0.0,na,IAC,na,na
1418, IBERIABANK Corp ,17,0.0,0.0,na,IBKCP,na,na
1420, ICA Gruppen AB ,66,0.0,1.0,Sweden,na,na,ICA
1424, ICON PLC ,10,0.0,0.0,na,ICLR,na,na
1427, IDEX Corp ,13,0.0,0.0,na,na,IEX,na
1433, IHS Markit Ltd ,51,0.0,0.0,na,INFO,INFO,na
1436, Illinois Tool Works Inc ,31,0.0,0.0,na,na,ITW,na
1446, Incyte Corp ,16,0.0,0.0,na,INCY,na,na
1470, Infosys Ltd ,71,0.0,0.0,na,na,INFY,na
1477, Ingevity Corp ,35,0.0,0.0,na,na,NGVT,na
1479, Ingredion Inc ,17,0.0,0.0,na,na,INGR,na
1487, Insulet Corp ,10,0.0,0.0,na,PODD,na,na
1490, Integra LifeSciences Holdings Corp ,9,0.0,0.0,na,IART,na,na
1491, Intel Corp ,39,1.0,0.0,na,INTC,na,na
1494, Interactive Brokers Group Inc ,11,0.0,0.0,na,IBKR,na,na
1496, Intercontinental Exchange Inc ,30,0.0,0.0,na,na,ICE,na
1497, InterContinental Hotels Group PLC ,77,0.0,1.0,United Kingdom (UK),na,IHG,na
1498, Intercorp Financial Services Inc ,8,0.0,0.0,na,PFIS,IFS,na
1501, International Business Machines Corp ,46,0.0,0.0,na,na,IBM,na
1513, Intuit Inc ,27,0.0,1.0,United States of America (USA),INTU,na,na
1521, Invesco Ltd ,29,0.0,0.0,na,na,IVZ,na
1523, Investor AB ,26,0.0,0.0,na,na,na,INVE B
1524, Invitation Homes Inc ,7,0.0,0.0,na,na,INVH,na
1528, IPG Photonics Corp ,10,0.0,0.0,na,IPGP,na,na
1535, Iron Mountain Inc ,52,0.0,1.0,United States of America (USA),na,IRM,na
1538, Israel Chemicals Ltd ,32,0.0,0.0,na,na,ICL,na
1540, ISS A/S ,59,0.0,0.0,na,na,na,ISS
1543, Itau CorpBanca ,63,0.0,0.0,na,na,ITCB,na
1549, ITT Inc ,20,0.0,0.0,na,na,ITT,na
1555, Jack Henry & Associates Inc ,12,0.0,0.0,na,JKHY,na,na
1556, Jacobs Engineering Group Inc ,38,0.0,0.0,na,na,J,na
1557, James Hardie Industries PLC ,15,0.0,0.0,na,na,JHX,na
1558, Janus Henderson Group PLC ,46,0.0,0.0,na,na,JHG,na
1572, Jazz Pharmaceuticals PLC ,16,0.0,0.0,na,JAZZ,na,na
1579, Jefferies Financial Group Inc ,19,0.0,0.0,na,na,JEF,na
1588, Johnson Controls International plc ,67,1.0,1.0,Ireland,na,JCI,na
1591, Jones Lang LaSalle Inc ,57,0.0,0.0,na,na,JLL,na
