Name,Symbol
TRATON,8TRA
AAK,AAK
ABB Ltd,ABB
Addtech B,ADDT B
ÅF Pöyry B,AF B
Alfa Laval,ALFA
Autoliv SDB,ALIV SDB
ALK-Abelló B,ALK B
Alm. Brand,ALMB
Ahlstrom-Munksjö Oyj,AM1
Ahlstrom-Munksjö Oyj,AM1S
Ambu,AMBU B
Arion banki,ARION
Arion Banki SDB,ARION SDB
Arjo B,ARJO B
ASSA ABLOY B,ASSA B
Atlas Copco A,ATCO A
Atlas Copco B,ATCO B
Atrium Ljungberg B,ATRLJ B
Attendo,ATT
Axfood,AXFO
Avanza Bank Holding,AZA
AstraZeneca,AZN
Fast. Balder B,BALD B
Beijer Ref B,BEIJ B
Betsson B,BETS B
BillerudKorsnäs,BILL
Boliden,BOL
Bonava A,BONAV A
Bonava B,BONAV B
Bravida Holding,BRAV
Carlsberg A,CARL A
Carlsberg B,CARL B
Castellum,CAST
Cargotec Oyj,CGCBV
Chr. Hansen Holding,CHR
Coloplast B,COLO B
Citycon Oyj,CTY1S
Danske Bank,DANSKE
Demant,DEMANT
DFDS,DFDS
Dometic Group,DOM
Drilling Company of 1972,DRLCO
DSV Panalpina,DSV
Elekta B,EKTA B
Elisa Oyj,ELISA
Electrolux A,ELUX A
Electrolux B,ELUX B
Epiroc A,EPI A
Epiroc B,EPI B
Electrolux Professional A,EPRO A
Electrolux Professional B,EPRO B
EQT,EQT
Ericsson A,ERIC A
Ericsson B,ERIC B
Essity A,ESSITY A
Essity B,ESSITY B
Evolution Gaming Group,EVO
Fabege,FABG
FLSmidth & Co.,FLS
Fenix Outdoor International B,FOI B
Fortum Oyj,FORTUM
Fastpartner A,FPAR A
Fastpartner D,FPAR D
Fastpartner Pref,FPAR PREF
Fiskars Oyj Abp,FSKRS
G4S plc,G4S
Getinge B,GETI B
Genmab,GMAB
GN Store Nord,GN
Hexagon B,HEXA B
Hennes & Mauritz B,HM B
Holmen A,HOLM A
Holmen B,HOLM B
HEXPOL B,HPOL B
Hufvudstaden A,HUFV A
Huhtamäki Oyj,HUH1V
Husqvarna A,HUSQ A
Husqvarna B,HUSQ B
ICA Gruppen,ICA
Indutrade,INDT
Industrivärden A,INDU A
Industrivärden C,INDU C
Intrum,INTRUM
Investor A,INVE A
Investor B,INVE B
ISS,ISS
Jeudan,JDAN
JM,JM
Jyske Bank,JYSK
Københavns Lufthavne,KBHL
Konecranes Oyj,KCR
Kemira Oyj,KEMIRA
Kesko Oyj A,KESKOA
Kesko Oyj B,KESKOB
Kindred Group,KIND SDB
Kinnevik A,KINV A
Kinnevik B,KINV B
Kungsleden,KLED
Klövern A,KLOV A
Klövern B,KLOV B
Klövern pref,KLOV PREF
KONE Oyj,KNEBV
Kojamo Oyj,KOJAMO
Latour B,LATO B
Lifco B,LIFCO B
Loomis B,LOOM B
Lundin Mining Corporation,LUMI
Lundbeck,LUN
Lundbergföretagen B,LUND B
Lundin Energy,LUNE
A.P. Møller - Mærsk A,MAERSK A
A.P. Møller - Mærsk B,MAERSK B
Marel,MAREL
Medicover B,MCOV B
Metsä Board Oyj A,METSA
Metsä Board Oyj B,METSB
Metso Oyj,METSO
Modern Times Group A,MTG A
Modern Times Group B,MTG B
Mycronic,MYCR
NCC A,NCC A
NCC B,NCC B
Nordea Bank Abp,NDA DK
Nordea Bank Abp,NDA FI
Nordea Bank Abp,NDA SE
Nordic Entertainment Group A,NENT A
Nordic Entertainment Group B,NENT B
Neste Oyj,NESTE
Netcompany Group,NETC
NIBE Industrier B,NIBE B
Nobia,NOBI
Nokia Oyj,NOKIA
Nolato B,NOLA B
Novo Nordisk B,NOVO B
Nyfosa,NYF
Novozymes B,NZYM B
Orion Oyj A,ORNAV
Orion Oyj B,ORNBV
Ørsted,ORSTED
Össur,OSSR
Outokumpu Oyj,OUT1V
Peab B,PEAB B
Pandora,PNDORA
Pandox B,PNDX B
Ratos A,RATO A
Ratos B,RATO B
Royal UNIBREW,RBREW
Resurs Holding,RESURS
Ringkjøbing Landbobank,RILBA
Rockwool Int. A,ROCK A
Rockwool Int. B,ROCK B
Sanoma Oyj,SAA1V
SAAB B,SAAB B
Sagax A,SAGA A
Sagax B,SAGA B
Sagax D,SAGA D
Sagax pref,SAGA PREF
Sampo Oyj A,SAMPO
Sandvik,SAND
Samhällsbyggnadsbo. i Norden B,SBB B
Samhällsbyggnadsbo. i Norden D,SBB D
SCA A,SCA A
SCA B,SCA B
Schouw & Co.,SCHO
SEB A,SEB A
SEB C,SEB C
Securitas B,SECU B
Sv. Handelsbanken A,SHB A
Sv. Handelsbanken B,SHB B
SimCorp,SIM
Skanska B,SKA B
SKF A,SKF A
SKF B,SKF B
Swedish Orphan Biovitrum,SOBI
Spar Nord Bank,SPNO
SSAB A,SSAB A
SSAB B,SSAB B
SSAB A,SSABAH
SSAB B,SSABBH
Stora Enso A,STE A
Stora Enso R,STE R
Stora Enso Oyj A,STEAV
Stora Enso Oyj R,STERV
Scandinavian Tobacco Group,STG
SWECO A,SWEC A
SWECO B,SWEC B
Swedbank A,SWED A
Swedish Match,SWMA
Sydbank,SYDB
Tele2 A,TEL2 A
Tele2 B,TEL2 B
Telia Company,TELIA
Telia Company,TELIA1
Thule Group,THULE
TietoEVRY Oyj,TIETO
TietoEVRY Oyj,TIETOS
Millicom Int. Cellular SDB,TIGO SDB
Topdanmark,TOP
Trelleborg B,TREL B
Tryg,TRYG
Terveystalo Oyj,TTALO
Nokian Renkaat Oyj,TYRES
UPM-Kymmene Oyj,UPM
Valmet Oyj,VALMT
Vitrolife,VITR
Veoneer SDB,VNE SDB
Volvo A,VOLV A
Volvo B,VOLV B
Vestas Wind Systems,VWS
Wallenstam B,WALL B
Wihlborgs Fastigheter,WIHL
Wärtsilä Oyj Abp,WRT1V
YIT Oyj,YIT
